                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.5401,                 1.9532,                0.89412,                0.96317,                0.61555,                  0.625,                  0.564,                0.25882,                0.50286,                 0.4875,                0.48086,                0.18408,                 2.0216,                 2.5794,                 1.1851,                 1.2168,               0.002971,               0.002971,               0.002971
                     73,                 1.5486,                 2.1422,                0.86663,                0.97283,                0.61555,                  0.625,                  0.564,                0.25882,                0.50286,                 0.4875,                0.48086,                0.18408,                 2.0216,                 2.5794,                 1.1851,                 1.2168,               0.002872,               0.002872,               0.002872
                     74,                 1.5739,                 2.1064,                0.89599,                 0.9516,                0.61555,                  0.625,                  0.564,                0.25882,                0.50286,                 0.4875,                0.48086,                0.18408,                 2.0216,                 2.5794,                 1.1851,                 1.2168,               0.002773,               0.002773,               0.002773
                     75,                 1.4875,                 1.9829,                0.84408,                 0.9566,                0.62454,                    0.6,                0.59131,                0.27848,                0.52045,                    0.5,                0.50609,                0.19723,                 1.9525,                 2.5708,                  1.113,                 1.2125,               0.002674,               0.002674,               0.002674
                     76,                 1.5381,                 2.0843,                0.85278,                0.96243,                0.62454,                    0.6,                0.59131,                0.27848,                0.52045,                    0.5,                0.50609,                0.19723,                 1.9525,                 2.5708,                  1.113,                 1.2125,               0.002575,               0.002575,               0.002575
                     77,                 1.7074,                 2.0595,                 1.0187,                 0.9588,                0.62454,                    0.6,                0.59131,                0.27848,                0.52045,                    0.5,                0.50609,                0.19723,                 1.9525,                 2.5708,                  1.113,                 1.2125,               0.002476,               0.002476,               0.002476
                     78,                 1.5557,                  1.952,                0.86295,                0.98003,                0.58166,                0.66045,                 0.6043,                0.30842,                0.55237,                 0.5875,                0.52448,                0.20991,                 1.8622,                 2.4867,                 1.0154,                 1.2111,               0.002377,               0.002377,               0.002377
                     79,                 1.5651,                 2.0221,                0.92636,                 0.9766,                0.58166,                0.66045,                 0.6043,                0.30842,                0.55237,                 0.5875,                0.52448,                0.20991,                 1.8622,                 2.4867,                 1.0154,                 1.2111,               0.002278,               0.002278,               0.002278
                     80,                 1.4886,                 2.0368,                0.83781,                0.93219,                0.62076,                0.65477,                 0.6373,                0.31147,                0.51509,                  0.475,                0.49774,                0.19422,                 1.8532,                 2.5454,                  1.052,                 1.1587,               0.002179,               0.002179,               0.002179
                     81,                 1.5276,                 2.0592,                0.87822,                0.94664,                0.62076,                0.65477,                 0.6373,                0.31147,                0.51509,                  0.475,                0.49774,                0.19422,                 1.8532,                 2.5454,                  1.052,                 1.1587,                0.00208,                0.00208,                0.00208
